id,area,loss_0_1,diff_loss,diff_target
0,480,1,0,-1
101,480,0,1,1
2044,480,0,1,1
4926,480,0,1,1
6507,480,1,0,-1
12014,480,1,0,-1
13597,480,0,1,1
13688,480,1,0,-1
14126,480,1,0,-1
29077,480,0,1,1
29585,480,0,1,1
33242,480,1,0,-1
34003,480,1,0,-1
34311,480,0,1,1
35266,480,0,1,1
36118,480,0,1,1
37185,480,1,0,-1
37729,480,0,1,1
38111,480,0,1,1
38151,480,1,0,-1
41347,480,1,0,-1
42315,480,1,0,-1
42472,480,0,1,1
44600,480,1,0,-1
44917,480,1,0,-1
46181,480,1,0,-1
47383,480,1,0,-1
49091,390,0,0,0
48915,390,0,0,0
48892,390,0,0,0
48881,390,0,0,0
48843,390,0,0,0
48793,390,0,0,0
48565,390,0,0,0
48534,390,0,0,0
48352,390,0,0,0
48249,390,0,0,0
48191,390,0,0,0
47890,390,0,0,0
47504,390,0,0,0
47327,390,0,0,0
46542,390,0,0,0
46497,390,0,0,0
1589,390,0,0,0
1548,390,0,0,0
1391,390,0,0,0
1231,390,0,0,0
1180,390,0,0,0
1052,390,0,0,0
869,390,0,0,0
836,390,0,0,0
647,390,0,0,0
610,390,0,0,0
515,390,0,0,0
421,390,0,0,0
357,390,0,0,0
309,390,0,0,0
204,390,0,0,0
49098,390,0,0,0
5990,390,0,0,0
5762,390,0,0,0
5648,390,0,0,0
5634,390,0,0,0
5610,390,0,0,0
5590,390,0,0,0
5373,390,0,0,0
5340,390,0,0,0
5338,390,0,0,0
5119,390,0,0,0
5114,390,0,0,0
5113,390,0,0,0
5027,390,0,0,0
4812,390,0,0,0
4747,390,0,0,0
4743,390,0,0,0
7172,390,0,0,0
7165,390,0,0,0
7154,390,0,0,0
7131,390,0,0,0
6838,390,0,0,0
6813,390,0,0,0
6791,390,0,0,0
6601,390,0,0,0
6551,390,0,0,0
6545,390,0,0,0
6322,390,0,0,0
6320,390,0,0,0
6283,390,0,0,0
6267,390,0,0,0
6238,390,0,0,0
5998,390,0,0,0
8569,390,0,0,0
8340,390,0,0,0
8271,390,0,0,0
8082,390,0,0,0
8010,390,0,0,0
8000,390,0,0,0
7842,390,0,0,0
7788,390,0,0,0
7681,390,0,0,0
7630,390,0,0,0
7579,390,0,0,0
7554,390,0,0,0
7549,390,0,0,0
7379,390,0,0,0
7344,390,0,0,0
7226,390,0,0,0
9435,390,0,0,0
9408,390,0,0,0
9357,390,0,0,0
9255,390,0,0,0
9251,390,0,0,0
9219,390,0,0,0
9137,390,0,0,0
9106,390,0,0,0
9092,390,0,0,0
9066,390,0,0,0
8970,390,0,0,0
8913,390,0,0,0
8909,390,0,0,0
8876,390,0,0,0
8740,390,0,0,0
8650,390,0,0,0
10743,390,0,0,0
10700,390,0,0,0
10675,390,0,0,0
10669,390,0,0,0
10626,390,0,0,0
10528,390,0,0,0
10428,390,0,0,0
10422,390,0,0,0
10421,390,0,0,0
10416,390,0,0,0
10210,390,0,0,0
10081,390,0,0,0
10062,390,0,0,0
9748,390,0,0,0
9540,390,0,0,0
9485,390,0,0,0
11961,390,0,0,0
11935,390,0,0,0
11764,390,0,0,0
11758,390,0,0,0
11560,390,0,0,0
2,149,0,0,0
52,149,0,0,0
105,149,1,1,0
148,149,0,0,0
216,149,0,0,0
248,149,0,0,0
276,149,0,0,0
417,149,0,0,0
475,149,0,0,0
579,149,0,0,0
603,149,0,0,0
854,149,0,0,0
1377,149,0,0,0
1403,149,0,0,0
1756,149,0,0,0
1768,149,0,0,0
1973,149,0,0,0
2007,149,0,0,0
2533,149,0,0,0
2890,149,0,0,0
3019,149,0,0,0
3644,149,0,0,0
3983,149,0,0,0
4051,149,0,0,0
4306,149,0,0,0
4529,149,0,0,0
4577,149,0,0,0
4712,149,0,0,0
4834,149,0,0,0
5328,149,1,1,0
5428,149,0,0,0
5602,149,0,0,0
5808,149,0,0,0
5851,149,0,0,0
5985,149,0,0,0
6168,149,0,0,0
6406,149,0,0,0
6450,149,0,0,0
6816,149,0,0,0
6907,149,0,0,0
7183,149,0,0,0
7433,149,0,0,0
7437,149,0,0,0
7773,149,0,0,0
7932,149,0,0,0
7969,149,0,0,0
